Word,Verb,Noun,Adj,Adv,Prep,Pron,Article,Prop,Num,Interj,Label
A,4,4,3,1,2,0,0,0,0,0,FALSE
A CAPPELLA,3,2,0,0,1,0,0,1,0,0,FALSE
AARDVARK,3,4,1,2,1,0,0,1,0,0,FALSE
ABACK,2,2,0,0,0,0,0,1,0,0,FALSE
ABACUS,2,2,1,2,1,0,0,1,1,0,FALSE
ABANDON,2,2,0,0,1,0,0,2,0,0,FALSE
ABANDONED,1,4,1,0,1,0,0,0,0,0,FALSE
ABANDONEE,2,5,0,0,2,0,0,1,0,0,FALSE
ABANDONER,2,2,2,2,0,0,0,1,0,0,FALSE
ABANDONMENT,1,3,0,0,0,0,0,0,0,0,FALSE
ABASEMENT,5,5,0,0,2,1,0,0,0,0,FALSE
ABBREVIATE,3,8,4,1,2,0,0,1,0,0,FALSE
ABBREVIATED,3,5,0,1,1,0,0,0,0,0,FALSE
ABBREVIATION,4,3,3,0,1,0,0,0,0,0,FALSE
ABDICATE,2,3,1,0,0,0,0,0,0,0,FALSE
ABDOMEN,2,4,2,1,2,0,0,0,0,0,FALSE
ABDOMINAL,3,2,2,0,1,0,0,0,0,0,FALSE
ABDOMINALLY,2,5,0,0,1,1,0,0,0,0,FALSE
ABDUCT,3,3,0,0,1,0,0,0,0,0,FALSE
ABDUCTEE,1,4,0,0,2,1,0,0,0,0,FALSE
ABDUCTION,2,5,0,1,1,0,0,0,0,0,FALSE
ABDUCTOR,2,2,0,0,0,0,0,0,0,0,FALSE
ABHOR,2,5,0,0,0,0,0,0,0,0,FALSE
ABHORRENCE,3,5,1,0,1,0,1,0,0,0,FALSE
ABHORRENTLY,2,3,1,0,1,0,0,0,0,0,FALSE
ABHORRING,1,4,0,0,1,0,0,0,0,0,FALSE
ABIDE,1,4,2,0,0,0,0,0,0,0,FALSE
ABIDING,3,3,0,0,1,0,0,0,0,0,FALSE
ABIDINGLY,2,4,0,0,3,1,0,0,0,0,FALSE
ABILITY,4,2,1,1,1,0,0,0,0,0,FALSE
ABLAZE,1,5,0,0,0,0,0,0,0,0,FALSE
ABLE,2,7,0,0,3,0,0,0,0,0,FALSE
ABLY,3,7,1,1,2,0,0,0,0,0,FALSE
ABNORMAL,2,6,3,0,2,0,0,0,0,0,FALSE
ABNORMALITY,2,5,0,0,1,0,0,0,0,0,FALSE
ABNORMALLY,1,7,1,0,1,0,0,0,0,0,FALSE
ABOARD,1,3,0,1,1,0,0,0,0,0,FALSE
ABODE,4,4,0,0,2,1,1,0,0,0,FALSE
ABOLISH,3,4,0,1,1,1,0,0,0,0,FALSE
ABOLISHABLE,1,4,2,0,1,0,0,0,0,0,FALSE
ABOLISHER,1,2,1,1,0,0,0,0,0,0,FALSE
ABOLISHMENT,2,2,0,0,0,1,0,0,1,0,FALSE
ABOLITION,2,3,3,2,1,0,0,2,0,0,FALSE
ABOLITIONISM,2,6,1,0,1,0,0,0,0,0,FALSE
ABOLITIONIST,3,1,1,0,0,0,0,0,1,0,FALSE
ABOMINABLE,1,3,2,0,2,0,0,0,0,0,FALSE
ABOMINABLENESS,2,3,1,0,1,0,0,0,0,0,FALSE
ABOMINABLY,1,2,1,0,0,0,0,0,0,0,FALSE
ABOMINATE,4,4,2,0,2,0,0,0,0,0,FALSE
ABOMINATION,3,2,2,2,1,0,0,0,0,0,FALSE
ABORIGINAL,2,3,0,0,1,0,0,0,0,0,FALSE
ABORT,1,2,1,0,1,0,0,0,0,0,FALSE
ABORTED,1,2,0,0,0,0,0,1,0,0,FALSE
ABORTION,1,3,0,0,1,0,0,1,0,0,FALSE
ABORTIONIST,1,3,1,0,1,0,0,1,0,0,FALSE
ABORTIVE,0,2,0,0,1,0,0,1,0,0,FALSE
ABORTIVELY,2,3,0,0,1,0,0,0,0,0,FALSE
ABOUND,2,4,2,0,1,0,0,0,0,0,FALSE
ABOUNDING,1,5,0,0,1,0,0,1,0,0,FALSE
ABOUT,1,2,0,0,1,0,0,0,0,0,FALSE
ABOVE,1,2,0,0,1,0,0,0,0,0,FALSE
ABOVE ALL,1,2,0,0,0,0,0,1,0,0,FALSE
ABOVEBOARD,1,3,0,0,1,0,0,0,0,0,FALSE
ABOVEGROUND,3,2,1,0,1,0,0,0,0,0,FALSE
ABOVEMENTIONED,1,2,0,0,0,0,0,1,0,0,FALSE
ABRACADABRA,2,2,0,0,0,0,0,0,0,0,FALSE
ABRASION,2,2,0,0,0,0,0,0,0,0,FALSE
ABRASIVE,3,6,0,0,1,0,0,0,0,0,FALSE
ABRASIVELY,2,5,0,0,0,0,0,0,0,0,FALSE
ABRASIVENESS,0,4,0,0,1,0,0,0,0,0,FALSE
ABREAST,2,7,1,0,2,0,0,0,1,0,FALSE
ABRIDGE,4,5,2,0,0,0,0,0,0,0,FALSE
ABRIDGED,2,6,3,0,1,0,0,0,0,0,FALSE
ABRIDGMENT,2,4,0,0,1,1,0,0,0,0,FALSE
ABROAD,1,3,0,0,0,0,0,1,0,0,FALSE
ABRUPT,1,4,0,0,0,0,0,0,0,0,FALSE
ABRUPTLY,1,3,0,0,0,0,0,1,0,0,FALSE
ABRUPTNESS,1,5,0,0,0,0,0,0,0,0,FALSE
ABSCESS,1,4,0,0,0,0,0,0,0,0,FALSE
ABSCESSED,1,3,0,0,0,0,0,2,0,0,FALSE
ABSENCE,2,8,3,0,2,0,0,1,0,0,FALSE
ABSENT,2,7,1,0,2,0,0,0,0,0,FALSE
ABSENTEE,5,6,0,2,4,4,0,0,1,0,FALSE
ABSENTEEISM,2,5,1,0,2,1,0,0,0,0,FALSE
ABSENTLY,0,3,1,0,0,0,0,0,0,0,FALSE
ABSENTMINDED,1,3,1,0,1,0,0,0,0,0,FALSE
ABSENTMINDEDLY,2,2,1,0,0,0,0,0,0,0,FALSE
ABSENTMINDEDNESS,3,6,2,2,2,0,0,1,0,0,FALSE
ABSENTNESS,2,2,0,0,0,0,0,0,0,0,FALSE
ABSINTHE,2,4,1,0,1,1,0,3,0,0,FALSE
ABSOLUTE,1,1,1,0,1,0,0,1,0,0,FALSE
ABSOLUTELY,2,4,0,0,2,1,0,4,0,0,FALSE
