Word,Verb,Noun,Adj,Adv,Prep,Pron,Article,Prop,Num,Interj,Label
A,3,6,2,0,3,0,0,0,0,0,TRUE
A CAPPELLA,4,2,0,0,1,0,0,1,0,0,TRUE
AARDVARK,2,3,1,1,2,0,0,0,0,0,TRUE
ABACK,4,10,4,1,5,0,0,0,0,0,TRUE
ABACUS,4,6,2,2,1,0,2,0,0,0,TRUE
ABANDON,1,2,1,1,1,0,0,0,0,0,TRUE
ABANDONED,5,7,5,0,5,1,0,1,1,0,TRUE
ABANDONEE,4,7,2,1,2,0,2,0,0,0,TRUE
ABANDONER,4,7,2,1,3,0,0,0,0,0,TRUE
ABANDONMENT,2,4,0,1,1,0,0,0,0,0,TRUE
ABASEMENT,3,3,0,3,1,1,0,2,0,0,TRUE
ABBREVIATE,2,5,1,0,2,0,0,0,0,0,TRUE
ABBREVIATED,4,6,1,2,1,0,0,0,0,0,TRUE
ABBREVIATION,3,6,3,0,2,2,0,0,0,0,TRUE
ABDICATE,1,6,0,0,1,0,0,0,0,0,TRUE
ABDOMEN,2,3,1,2,1,0,0,0,0,0,TRUE
ABDOMINAL,1,4,1,2,1,0,0,0,0,0,TRUE
ABDOMINALLY,5,4,0,2,1,1,0,0,0,0,TRUE
ABDUCT,3,9,3,0,4,0,1,2,0,0,TRUE
ABDUCTEE,3,4,0,1,2,0,0,0,0,0,TRUE
ABDUCTION,2,4,1,0,2,0,0,0,0,0,TRUE
ABDUCTOR,3,2,1,1,1,1,0,0,0,0,TRUE
ABHOR,3,5,2,0,2,0,0,0,0,0,TRUE
ABHORRENCE,4,5,0,2,1,1,1,0,0,0,TRUE
ABHORRENTLY,2,9,3,1,3,0,0,0,0,0,TRUE
ABHORRING,3,5,1,0,3,0,0,0,0,0,TRUE
ABIDE,4,13,4,0,2,0,0,0,0,0,TRUE
ABIDING,3,3,1,0,2,0,0,0,0,0,TRUE
ABIDINGLY,4,3,1,2,4,0,0,0,0,0,TRUE
ABILITY,1,4,0,0,1,0,0,0,0,0,TRUE
ABLAZE,2,4,1,0,2,0,0,0,0,0,TRUE
ABLE,5,3,1,1,3,0,0,0,0,0,TRUE
ABLY,2,4,0,0,2,0,0,0,0,0,TRUE
ABNORMAL,8,6,3,1,3,1,0,0,0,0,TRUE
ABNORMALITY,3,5,2,0,1,0,0,0,0,0,TRUE
ABNORMALLY,7,7,6,0,8,2,0,0,0,0,TRUE
ABOARD,4,8,1,0,2,0,0,0,0,0,TRUE
ABODE,4,8,2,0,5,0,0,0,0,0,TRUE
ABOLISH,4,4,1,0,2,0,0,0,0,0,TRUE
ABOLISHABLE,3,3,2,2,2,0,0,0,0,0,TRUE
ABOLISHER,2,11,1,0,6,2,0,0,0,0,TRUE
ABOLISHMENT,4,1,1,4,1,1,0,0,0,0,TRUE
ABOLITION,3,5,1,0,3,0,0,0,0,0,TRUE
ABOLITIONISM,5,4,0,1,1,0,0,0,0,0,TRUE
ABOLITIONIST,4,4,1,1,2,0,0,0,0,0,TRUE
ABOMINABLE,5,8,3,4,3,0,0,0,0,0,TRUE
ABOMINABLENESS,5,7,0,1,6,1,0,0,0,0,TRUE
ABOMINABLY,3,4,1,0,1,0,0,0,0,0,TRUE
ABOMINATE,3,5,1,0,3,0,0,0,0,0,TRUE
ABOMINATION,4,4,2,0,2,2,1,0,0,0,TRUE
ABORIGINAL,3,5,2,1,4,0,0,1,2,0,TRUE
ABORT,1,4,0,2,3,1,0,2,0,0,TRUE
ABORTED,4,5,2,3,1,2,0,0,0,0,TRUE
ABORTION,10,9,4,4,3,3,0,0,0,0,TRUE
ABORTIONIST,5,8,3,1,5,1,0,0,0,0,TRUE
ABORTIVE,3,5,3,1,3,0,0,0,0,0,TRUE
ABORTIVELY,1,3,1,0,1,0,0,0,0,0,TRUE
ABOUND,2,8,8,1,2,0,0,0,0,0,TRUE
ABOUNDING,4,8,2,0,4,0,0,0,4,0,TRUE
ABOUT,1,2,4,0,2,0,0,3,0,0,TRUE
ABOVE,1,8,2,0,4,0,0,0,0,0,TRUE
ABOVE ALL,5,5,3,2,3,0,1,3,0,0,TRUE
ABOVEBOARD,5,5,6,2,2,0,0,0,0,0,TRUE
ABOVEGROUND,4,6,2,1,3,0,0,0,1,0,TRUE
ABOVEMENTIONED,5,9,2,1,4,0,1,0,3,0,TRUE
ABRACADABRA,1,4,0,0,2,0,0,0,0,0,TRUE
ABRASION,3,5,2,0,3,0,0,0,0,0,TRUE
